zdać+V+PL+3+PRS	zdana

potencial+N+GEN+PL	potencialow

wosobinski+ADJ+INS+MASC+SG	wosobinskim

předskok+N+ACC+SG	předskok

biografija+N+ACC+SG	biografiju

měć+V+PL+3+FUT	změja

łužica+N+ACC+SG	łužicu

wšelaki+ADJ+GEN+FEM+SG	wšelakeje

region+N+LOC+SG	regionje

přizamknyć+V+SG+3+PST	přizamkny

přiwzać+V+PL+PST	přiwzali

strona+N+GEN+PL	stronow

měć+V+SG+2+PST	měješe

měć+V+DU+1+PRS	mimoj

kedźbliwje+ADV	kedźbliwje

prawy+ADJ+GEN+PL	prawych

organizować+V+PL+3+PRS	+?

dźěło+N+ACC+SG	dźěło

naš+ADJ+GEN+PL	našch

šuler+N+GEN+PL	šulerow

twarskoprawnisce+ADV	twarskoprawnisce

dźěłać+V+PL+3+PRS	dźěłana

přisadźić+V+MASC+SG+PST	přisadźił

tradicija+N+INS+SG	tradiciju

wón+ADJ+GEN+FEM+SG	jeje

přihłosować+V+PL+3+PRS	+?

sobustawstwo+N+INS+SG	sobustawstwom

wokrjes+N+GEN+PL	wokrjesa

zaměr+N+GEN+PL	zaměrow

partyjowy+ADJ+GEN+PL	+?

Lubijski+ADJ+LOC+FEM+SG	Lubijskej

naprawa+N+ACC+SG	naprawy

serbski+ADJ+INS+MASC+SG	serbskim

poskićeć+V+PL+3+PRS	poskića

kónčina+N+GEN+PL	kónčin

być+V+SG+1+PRS	bu

skupina+N+GEN+PL	skupinow

kolij+N+GEN+PL	kolijow

namakać+V+PL+2+PRS	namakaće

sobota+N+ACC+SG	sobotu

pochadźeć+V+PL+3+PRS	pochadźa

nowotwar+N+INS+SG	+?

přeprošenje+N+ACC+SG	přeprošenje

wien+N+LOC+SG	wienje

wukrajny+ADJ+GEN+PL	wukrajnych

tutón+ADJ+GEN+MASC+PL	tutych

wón+ADJ+NOM+SG	wóna

prašenje+N+DAT+PL	prašenjam

dobry+ADJ+ACC+NEUT+SG	dobre

zakładna+N+GEN+PL	zakładnych

myslić+V+SG+2+PST	mysleše

zhromadny+ADJ+ACC+NEUT+SG	zhromadne

ptačecy+N+GEN+PL	ptačec

spale+N+GEN+PL	spalow

niwow+N+INS+SG	+?

němska+ADJ+GEN+PL	němskach

wjacory+ADJ+ACC+NEUT+SG	wjacore

azylowy+ADJ+ACC+MASC+SG	+?

kraj+N+LOC+SG	kraju

nańć+V+MASC+SG+PST	nańł

hladać+V.CVB+PRS	hladajo

knježerstwo+N+LOC+SG	knježerstwje

chwalić+V+PL+PST	chwalili

prajić+V+PL+2+PRS	prajiće

dźěža+N+INS+SG	dźěžu

zwisk+N+LOC+SG	zwisku

muzej+N+LOC+SG	muzeju

poskićić+V+DU+1+PRS	poskićimoj

němski+ADV	němski

być+V+SG+3+FUT	budźe

móc+V+PL+3+PRS	móca

wysoki+ADJ+GEN+MASC+PL	wyšich

partner+N+GEN+PL	partnerow

měrc+N+LOC+SG	měrcu

euro+N+GEN+PL	eurow

zajimc+N+GEN+PL	zajimcow

nora+N+LOC+SG	norje

ropot+N+NOM+SG	ropot

žiwy+ADJ+ACC+PL	žiwe

wopytowar+N+NOM+PL	+?

